2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:32:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:32:10) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:32:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:32:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:32:10) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:32:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:32:24) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:32:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:32:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:32:24) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:32:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:32:40) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:32:40) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:32:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:32:40) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:32:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:32:48) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:32:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:32:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:32:48) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:32:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:32:56) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:32:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:32:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:32:56) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:10) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:10) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:16) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:16) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:26) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:26) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:34) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:34) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:42) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:42) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:33:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:33:58) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:33:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:33:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:33:58) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:34:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:34:28) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:34:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:34:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:34:28) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:34:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:34:48) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:34:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:34:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:34:48) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:35:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:35:14) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:35:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:35:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:35:14) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:35:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:35:48) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:35:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:35:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:35:48) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:36:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:36:42) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:36:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:36:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:36:42) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:37:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:37:04) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:37:04) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:37:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:37:04) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:37:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:37:18) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:37:18) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:37:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:37:18) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:37:32) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:37:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:37:32) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:38:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:38:14) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:38:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:38:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:38:14) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:38:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:38:22) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:38:22) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:38:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:38:22) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:38:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:38:30) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:38:30) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:38:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:38:30) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:39:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:39:01) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:39:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:39:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:39:01) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:39:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:39:17) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:39:17) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:39:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:39:17) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:39:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:39:33) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:39:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
